"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3389","toolsMenu()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","toolsMenu"
"","3253","consultarChangelog()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US19ChangelogPageTest","iscteiul.ista.blackbattleship.tests.US19ChangelogPageTest","consultarChangelog"
"","4572","acederAPrivacidadeETermosCondicoes()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US20PrivacyTermsPageTest","iscteiul.ista.blackbattleship.tests.US20PrivacyTermsPageTest","acederAPrivacidadeETermosCondicoes"
"","7460","search()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","search"
"","9115","iniciarPartidaContraRobot()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","iniciarPartidaContraRobot"
"","9778","jogarContraAmigoComLinkPartilhavel()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","jogarContraAmigoComLinkPartilhavel"
"","3359","dispararContraTabuleiroAdversario()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US05DispararTabuleiroTest","iscteiul.ista.blackbattleship.tests.US05DispararTabuleiroTest","dispararContraTabuleiroAdversario"
"","2909","consultarChangelog()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US19ChangelogSelenideTest","iscteiul.ista.blackbattleship.tests.US19ChangelogSelenideTest","consultarChangelog"
"","4844","acederAPaginaDoJogo()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","acederAPaginaDoJogo"
"","2680","dispararContraTabuleiroAdversario()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US05DispararTabuleiroSelenideTest","iscteiul.ista.blackbattleship.tests.US05DispararTabuleiroSelenideTest","dispararContraTabuleiroAdversario"
"","14932","aceitarCookies()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","iscteiul.ista.blackbattleship.tests.BattleshipHomePageTest","aceitarCookies"
"","3263","consultarListaDeMonstersNaLoja()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US27MonstersShopPageTest","iscteiul.ista.blackbattleship.tests.US27MonstersShopPageTest","consultarListaDeMonstersNaLoja"
"","4416","consultarPoliticaPrivacidadeETermos()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US20PrivacyTermsSelenideTest","iscteiul.ista.blackbattleship.tests.US20PrivacyTermsSelenideTest","consultarPoliticaPrivacidadeETermos"
"","3333","consultarListaMonstersNaLoja()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.tests.US27MonstersShopSelenideTest","iscteiul.ista.blackbattleship.tests.US27MonstersShopSelenideTest","consultarListaMonstersNaLoja"
"","4342","navigationToAllTools()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","navigationToAllTools"
